"Статистик үзүүлэлт","Аймаг","Хүйс","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"15-19","Сүхбаатар","Эрэгтэй","","","","","","","","","","","","","","","","","","212","340","436","460","156","289","352","81","69","287","0","0","513","509","262"
"15-19","Сүхбаатар","Эмэгтэй","","","","","","","","","","","","","","","","","","0","481","577","154","0","179","149","147","174","0","248","0","128","425","262"
"15-19","Чингэлтэй","Эрэгтэй","","","","","","","","","","","","","","","","","","768","435","134","1,158","512","432","384","648","258","718","257","126","504","415","251"
"15-19","Чингэлтэй","Эмэгтэй","","","","","","","","","","","","","","","","","","324","194","0","333","327","431","407","236","84","297","0","503","126","249","168"
"15-19","Сонгинохайрхан","Эрэгтэй","","","","","","","","","","","","","","","","","","1,143","745","736","929","864","779","1,203","1,127","588","2,185","4,061","1,345","916","1,316","775"
"15-19","Сонгинохайрхан","Эмэгтэй","","","","","","","","","","","","","","","","","","1,156","543","225","349","368","1,007","577","672","611","474","2,435","747","0","1,024","0"
"20-24","Улсын дүн","Эрэгтэй","","","","","","","","","","","","","","","","","","78,315","74,477","67,769","69,906","69,249","65,999","63,010","62,785","60,251","62,034","55,597","55,368","48,863","52,133","58,515"
"20-24","Улсын дүн","Эмэгтэй","","","","","","","","","","","","","","","","","","63,854","56,770","51,858","51,236","54,919","47,294","46,899","40,469","40,504","44,178","38,231","40,572","34,683","39,461","29,507"
"20-24","Баян-Өлгий","Эрэгтэй","","","","","","","","","","","","","","","","","","2,566","2,527","2,685","2,734","2,453","3,215","3,272","2,490","3,783","3,126","2,317","3,056","2,856","2,146","3,191"
"20-24","Баян-Өлгий","Эмэгтэй","","","","","","","","","","","","","","","","","","2,632","2,132","3,007","3,550","2,659","3,216","3,263","2,279","2,405","2,862","2,105","1,024","2,348","1,912","953"
"20-24","Говь-Алтай","Эрэгтэй","","","","","","","","","","","","","","","","","","1,715","1,579","1,173","1,834","1,373","1,607","1,130","1,042","1,234","1,025","857","1,164","1,198","631","553"
"20-24","Говь-Алтай","Эмэгтэй","","","","","","","","","","","","","","","","","","853","1,470","1,281","991","1,009","949","1,059","754","989","713","1,143","963","669","287","228"
"20-24","Завхан","Эрэгтэй","","","","","","","","","","","","","","","","","","1,553","2,571","1,921","2,225","2,152","1,485","931","1,094","909","1,102","512","560","548","986","1,096"
"20-24","Завхан","Эмэгтэй","","","","","","","","","","","","","","","","","","1,969","1,625","1,684","1,317","2,048","644","600","693","557","619","592","232","909","409","478"
"20-24","Увс","Эрэгтэй","","","","","","","","","","","","","","","","","","2,934","1,895","2,504","1,814","1,806","1,705","1,633","2,132","1,648","1,763","1,124","1,594","2,884","1,803","1,820"
"20-24","Увс","Эмэгтэй","","","","","","","","","","","","","","","","","","2,511","2,052","1,421","1,288","1,310","1,148","1,430","1,485","1,140","1,169","727","3,027","2,272","1,361","639"
"20-24","Ховд","Эрэгтэй","","","","","","","","","","","","","","","","","","3,417","2,281","1,968","2,684","1,832","1,356","1,784","2,684","2,160","2,161","689","1,135","1,687","1,489","2,194"
"20-24","Ховд","Эмэгтэй","","","","","","","","","","","","","","","","","","3,070","1,884","1,881","1,283","1,410","1,322","1,066","1,685","1,434","706","972","637","760","918","341"
"20-24","Архангай","Эрэгтэй","","","","","","","","","","","","","","","","","","2,935","2,932","2,570","2,107","2,245","2,087","1,421","1,815","1,910","2,858","3,186","1,057","1,412","1,791","1,529"
"20-24","Архангай","Эмэгтэй","","","","","","","","","","","","","","","","","","2,528","2,955","2,236","2,019","1,674","1,771","1,084","673","944","1,144","939","698","763","831","809"
"20-24","Баянхонгор","Эрэгтэй","","","","","","","","","","","","","","","","","","1,919","2,433","1,870","3,135","3,082","2,861","3,020","2,633","2,676","2,531","1,170","2,180","1,380","2,480","3,204"
"20-24","Баянхонгор","Эмэгтэй","","","","","","","","","","","","","","","","","","1,896","2,284","1,996","2,213","2,551","1,936","2,179","1,740","2,001","2,332","1,285","3,415","1,877","1,642","1,556"
"20-24","Булган","Эрэгтэй","","","","","","","","","","","","","","","","","","896","1,828","1,473","1,198","1,106","1,333","1,152","661","1,081","888","578","814","947","492","1,208"
"20-24","Булган","Эмэгтэй","","","","","","","","","","","","","","","","","","1,790","1,401","830","916","1,078","962","485","502","556","510","554","1,058","137","79","286"
"20-24","Орхон","Эрэгтэй","","","","","","","","","","","","","","","","","","1,997","2,655","1,771","3,120","2,270","1,182","1,390","2,120","1,902","1,520","1,110","1,310","1,608","1,195","1,776"
"20-24","Орхон","Эмэгтэй","","","","","","","","","","","","","","","","","","2,143","2,170","1,492","1,981","1,865","1,353","842","1,371","1,264","1,011","1,148","575","1,083","1,072","380"
"20-24","Өвөрхангай","Эрэгтэй","","","","","","","","","","","","","","","","","","4,654","4,523","2,324","3,365","2,777","2,616","1,999","2,262","2,986","3,141","1,665","2,378","2,582","1,742","1,732"
"20-24","Өвөрхангай","Эмэгтэй","","","","","","","","","","","","","","","","","","3,743","3,191","2,395","1,404","2,447","1,954","2,121","1,360","1,287","1,796","1,930","788","1,206","1,239","329"
"20-24","Хөвсгөл","Эрэгтэй","","","","","","","","","","","","","","","","","","3,927","3,748","2,884","4,257","3,639","2,963","1,947","3,314","2,915","3,129","2,200","1,327","1,128","1,323","4,144"
"20-24","Хөвсгөл","Эмэгтэй","","","","","","","","","","","","","","","","","","5,069","2,519","3,028","2,845","3,780","2,680","1,907","2,198","2,098","1,818","639","1,513","1,170","999","1,295"
"20-24","Говьсүмбэр","Эрэгтэй","","","","","","","","","","","","","","","","","","696","421","305","493","341","243","321","132","252","224","362","387","327","195","251"
"20-24","Говьсүмбэр","Эмэгтэй","","","","","","","","","","","","","","","","","","263","170","351","127","259","60","239","154","157","273","155","232","145","122","384"
"20-24","Дархан-Уул","Эрэгтэй","","","","","","","","","","","","","","","","","","2,793","2,953","2,635","3,094","1,742","2,357","1,889","1,954","1,655","2,035","2,480","1,715","1,376","1,204","880"
"20-24","Дархан-Уул","Эмэгтэй","","","","","","","","","","","","","","","","","","2,062","1,798","1,705","1,785","972","1,496","1,075","1,038","773","1,433","1,268","720","738","673","370"
"20-24","Дорноговь","Эрэгтэй","","","","","","","","","","","","","","","","","","2,148","2,550","905","1,262","1,553","1,645","1,248","1,337","1,722","1,429","691","1,601","1,318","1,091","1,838"
"20-24","Дорноговь","Эмэгтэй","","","","","","","","","","","","","","","","","","1,178","1,524","398","756","920","952","770","1,132","1,029","1,301","632","334","613","270","967"
"20-24","Дундговь","Эрэгтэй","","","","","","","","","","","","","","","","","","2,010","1,727","1,346","901","811","864","569","863","910","836","976","1,607","1,448","1,239","412"
"20-24","Дундговь","Эмэгтэй","","","","","","","","","","","","","","","","","","1,156","1,373","782","711","871","605","614","460","572","836","424","913","685","634","687"
"20-24","Өмнөговь","Эрэгтэй","","","","","","","","","","","","","","","","","","2,632","2,533","2,970","1,592","1,785","1,624","1,152","1,205","1,364","1,434","1,390","613","884","1,324","775"
"20-24","Өмнөговь","Эмэгтэй","","","","","","","","","","","","","","","","","","2,353","1,313","1,601","952","1,013","1,001","902","615","1,011","943","653","522","961","796","1,268"
"20-24","Сэлэнгэ","Эрэгтэй","","","","","","","","","","","","","","","","","","4,678","2,320","2,814","2,804","1,992","2,080","1,666","1,596","2,314","2,919","950","588","673","753","668"
"20-24","Сэлэнгэ","Эмэгтэй","","","","","","","","","","","","","","","","","","2,265","1,927","1,462","1,743","1,653","981","854","967","1,310","1,056","767","1,221","1,229","370","231"
"20-24","Төв","Эрэгтэй","","","","","","","","","","","","","","","","","","2,451","2,832","2,293","2,219","2,321","1,526","2,294","1,256","1,415","1,554","1,055","2,139","1,423","2,090","910"
"20-24","Төв","Эмэгтэй","","","","","","","","","","","","","","","","","","2,347","1,549","1,176","1,272","1,907","1,090","1,003","1,213","1,399","1,340","391","968","281","667","208"
"20-24","Дорнод","Эрэгтэй","","","","","","","","","","","","","","","","","","2,147","1,804","2,608","1,551","2,350","1,970","1,487","1,330","1,092","1,145","2,593","1,125","401","839","498"
"20-24","Дорнод","Эмэгтэй","","","","","","","","","","","","","","","","","","1,205","1,126","1,475","1,704","1,304","892","1,238","904","1,022","696","548","1,971","1,402","664","941"
"20-24","Сүхбаатар","Эрэгтэй","","","","","","","","","","","","","","","","","","1,527","2,564","1,995","1,707","2,433","1,454","1,559","1,871","1,213","1,114","714","1,797","897","1,075","1,245"
"20-24","Сүхбаатар","Эмэгтэй","","","","","","","","","","","","","","","","","","1,926","1,690","2,155","1,226","1,464","1,155","1,405","1,041","883","732","657","983","553","507","709"
"20-24","Хэнтий","Эрэгтэй","","","","","","","","","","","","","","","","","","1,118","1,521","1,475","2,008","2,093","1,702","2,409","1,361","2,338","1,542","1,234","1,489","1,604","1,690","1,918"
"20-24","Хэнтий","Эмэгтэй","","","","","","","","","","","","","","","","","","1,544","1,558","794","1,835","858","1,115","1,525","819","864","851","1,647","594","881","586","1,163"
"20-24","Улаанбаатар","Эрэгтэй","","","","","","","","","","","","","","","","","","27,602","24,280","25,280","23,802","27,093","28,124","28,737","27,633","22,772","24,558","27,744","25,732","20,282","24,555","26,674"
"20-24","Улаанбаатар","Эмэгтэй","","","","","","","","","","","","","","","","","","19,351","19,059","18,708","19,318","21,867","20,012","21,238","17,386","16,809","20,037","19,055","18,184","14,003","23,424","15,287"
"20-24","Улаанбаатар","Эрэгтэй","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24,555","26,674"
"20-24","Улаанбаатар","Эмэгтэй","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23,424","15,287"
"20-24","Хан-Уул","Эрэгтэй","","","","","","","","","","","","","","","","","","2,553","1,692","1,620","1,764","1,967","3,046","2,272","2,743","3,508","1,984","2,675","1,310","681","3,686","5,324"
"20-24","Хан-Уул","Эмэгтэй","","","","","","","","","","","","","","","","","","1,414","1,367","1,454","1,404","1,785","2,828","2,305","1,735","1,877","1,778","1,416","2,947","1,020","3,564","2,734"
"20-24","Багануур Багахангай","Эрэгтэй","","","","","","","","","","","","","","","","","","637","740","866","275","511","519","489","538","292","400","1,907","1,490","444","491","187"
"20-24","Багануур Багахангай","Эмэгтэй","","","","","","","","","","","","","","","","","","495","579","401","575","395","308","323","271","141","271","1,615","1,154","366","178","176"
"20-24","Баянзүрх","Эрэгтэй","","","","","","","","","","","","","","","","","","5,255","5,815","6,447","5,683","7,411","4,733","6,827","7,385","7,432","6,724","5,844","5,022","4,971","6,118","5,732"
"20-24","Баянзүрх","Эмэгтэй","","","","","","","","","","","","","","","","","","3,396","5,491","4,983","4,708","6,055","4,166","5,697","5,015","5,542","5,508","4,154","5,524","4,787","7,308","5,539"
"20-24","Налайх","Эрэгтэй","","","","","","","","","","","","","","","","","","1,527","783","918","784","973","656","1,364","944","950","932","","","","798","806"
"20-24","Налайх","Эмэгтэй","","","","","","","","","","","","","","","","","","1,288","679","502","595","471","576","1,007","707","655","448","","","","200","378"
"20-24","Баянгол","Эрэгтэй","","","","","","","","","","","","","","","","","","3,121","2,544","3,639","3,386","4,288","4,279","3,479","3,296","2,531","3,079","2,678","4,830","2,449","2,442","2,543"
"20-24","Баянгол","Эмэгтэй","","","","","","","","","","","","","","","","","","3,355","2,080","3,048","2,750","3,814","2,851","2,786","2,712","1,893","3,060","2,105","3,220","1,428","2,543","1,658"
"20-24","Сүхбаатар","Эрэгтэй","","","","","","","","","","","","","","","","","","1,863","2,966","3,354","3,116","2,416","3,229","2,225","1,790","1,552","2,389","2,231","2,048","3,196","1,783","3,228"
"20-24","Сүхбаатар","Эмэгтэй","","","","","","","","","","","","","","","","","","1,294","1,819","1,699","1,650","2,444","2,336","1,495","949","1,440","2,418","1,611","512","1,663","2,293","1,221"
"20-24","Чингэлтэй","Эрэгтэй","","","","","","","","","","","","","","","","","","3,695","4,543","2,375","3,832","3,093","3,234","2,960","2,888","2,372","2,727","3,473","2,515","3,672","2,656","2,346"
"20-24","Чингэлтэй","Эмэгтэй","","","","","","","","","","","","","","","","","","2,575","3,099","2,261","3,432","2,731","1,684","2,225","2,020","2,000","2,651","1,929","2,137","1,395","2,075","1,257"
"20-24","Сонгинохайрхан","Эрэгтэй","","","","","","","","","","","","","","","","","","8,951","5,197","6,061","4,962","6,434","8,428","9,121","8,049","4,135","6,323","8,936","8,517","4,868","6,580","6,508"
"20-24","Сонгинохайрхан","Эмэгтэй","","","","","","","","","","","","","","","","","","5,534","3,945","4,360","4,204","4,172","5,263","5,400","3,977","3,261","3,903","6,225","2,690","3,344","5,264","2,324"
"25-29","Улсын дүн","Эрэгтэй","","","","","","","","","","","","","","","","","","81,521","87,449","84,692","92,494","94,308","98,443","95,692","102,189","102,435","97,263","92,047","90,516","84,905","79,496","69,366"
"25-29","Улсын дүн","Эмэгтэй","","","","","","","","","","","","","","","","","","64,569","72,591","67,608","77,680","83,147","80,496","76,645","83,839","84,669","76,392","70,916","72,876","63,987","63,665","65,139"
"25-29","Баян-Өлгий","Эрэгтэй","","","","","","","","","","","","","","","","","","3,552","2,712","2,675","4,366","3,702","4,463","4,202","2,667","4,224","4,267","3,746","3,054","4,728","4,824","3,333"
"25-29","Баян-Өлгий","Эмэгтэй","","","","","","","","","","","","","","","","","","2,680","2,110","2,228","3,469","3,554","3,586","4,444","2,610","4,226","3,739","2,502","2,432","1,488","5,066","3,502"
"25-29","Говь-Алтай","Эрэгтэй","","","","","","","","","","","","","","","","","","2,446","1,959","1,942","1,492","2,051","1,999","1,575","1,399","1,807","1,404","1,430","757","1,567","1,366","1,168"
"25-29","Говь-Алтай","Эмэгтэй","","","","","","","","","","","","","","","","","","1,382","2,179","1,516","1,840","2,012","1,692","1,117","1,456","1,573","1,278","933","1,271","1,201","1,217","886"
"25-29","Завхан","Эрэгтэй","","","","","","","","","","","","","","","","","","1,607","2,767","2,240","3,010","2,652","1,990","1,946","1,641","1,417","1,408","1,337","2,601","2,154","1,638","1,109"
"25-29","Завхан","Эмэгтэй","","","","","","","","","","","","","","","","","","2,552","2,439","1,999","3,023","3,111","1,477","1,827","1,796","1,888","1,129","234","1,455","1,080","456","1,261"
"25-29","Увс","Эрэгтэй","","","","","","","","","","","","","","","","","","2,441","2,159","1,799","2,500","2,429","2,486","2,784","3,045","2,075","2,289","3,099","3,163","3,187","3,279","2,522"
"25-29","Увс","Эмэгтэй","","","","","","","","","","","","","","","","","","1,437","2,194","1,857","2,499","2,076","2,221","2,174","2,366","2,577","1,383","1,581","3,209","2,270","1,708","2,325"
"25-29","Ховд","Эрэгтэй","","","","","","","","","","","","","","","","","","2,589","2,463","2,596","2,480","2,525","2,341","2,753","2,659","2,865","2,622","2,817","2,389","1,727","2,740","3,714"
"25-29","Ховд","Эмэгтэй","","","","","","","","","","","","","","","","","","1,862","2,139","1,638","1,868","2,042","1,828","1,875","2,618","3,024","2,018","2,748","2,183","1,675","3,740","2,479"
"25-29","Архангай","Эрэгтэй","","","","","","","","","","","","","","","","","","3,394","3,234","2,950","3,126","2,918","2,598","1,939","3,135","2,623","2,939","3,625","2,670","1,645","2,823","3,245"
"25-29","Архангай","Эмэгтэй","","","","","","","","","","","","","","","","","","2,791","2,977","2,099","2,854","2,978","3,329","1,879","2,527","2,142","2,586","2,847","2,745","1,368","1,781","2,360"
"25-29","Баянхонгор","Эрэгтэй","","","","","","","","","","","","","","","","","","2,640","2,317","2,158","3,559","2,374","3,104","3,163","2,940","4,136","3,962","4,132","3,116","2,557","3,006","2,070"
"25-29","Баянхонгор","Эмэгтэй","","","","","","","","","","","","","","","","","","2,029","1,854","2,135","2,310","2,620","3,482","2,978","3,199","3,146","2,686","2,570","2,252","2,286","1,856","1,854"
"25-29","Булган","Эрэгтэй","","","","","","","","","","","","","","","","","","2,316","1,889","1,920","1,619","1,576","1,470","1,899","1,246","1,502","1,348","1,439","1,843","1,869","1,108","672"
"25-29","Булган","Эмэгтэй","","","","","","","","","","","","","","","","","","2,294","2,180","1,613","1,950","1,674","1,024","1,759","1,579","1,541","1,636","787","1,561","1,298","987","664"
"25-29","Орхон","Эрэгтэй","","","","","","","","","","","","","","","","","","1,744","3,209","3,761","2,703","3,188","3,463","2,594","3,339","2,487","2,479","2,870","2,266","2,075","1,768","1,514"
"25-29","Орхон","Эмэгтэй","","","","","","","","","","","","","","","","","","1,682","2,096","2,621","2,347","3,003","2,561","2,559","2,713","3,092","2,750","1,574","1,845","1,353","2,186","1,267"
"25-29","Өвөрхангай","Эрэгтэй","","","","","","","","","","","","","","","","","","3,815","3,516","3,521","3,253","2,970","3,528","3,858","4,608","4,524","3,197","5,465","2,621","3,405","4,418","2,123"
"25-29","Өвөрхангай","Эмэгтэй","","","","","","","","","","","","","","","","","","4,912","4,042","2,034","3,041","2,844","3,264","2,634","4,958","3,699","3,176","2,327","2,896","2,058","2,639","1,988"
"25-29","Хөвсгөл","Эрэгтэй","","","","","","","","","","","","","","","","","","3,169","4,142","3,860","4,643","4,124","4,999","3,176","3,768","4,940","3,618","2,754","2,552","3,464","2,557","2,428"
"25-29","Хөвсгөл","Эмэгтэй","","","","","","","","","","","","","","","","","","2,490","3,414","3,386","3,726","4,549","3,892","3,730","3,176","3,809","3,625","3,432","3,842","3,030","1,229","5,689"
"25-29","Говьсүмбэр","Эрэгтэй","","","","","","","","","","","","","","","","","","262","510","258","414","646","566","559","668","470","620","394","535","499","426","487"
"25-29","Говьсүмбэр","Эмэгтэй","","","","","","","","","","","","","","","","","","0","687","484","330","371","345","478","518","580","475","258","528","389","290","244"
"25-29","Дархан-Уул","Эрэгтэй","","","","","","","","","","","","","","","","","","3,475","3,364","4,211","3,949","3,102","2,745","3,556","3,178","3,656","3,916","2,065","2,981","2,466","2,280","943"
"25-29","Дархан-Уул","Эмэгтэй","","","","","","","","","","","","","","","","","","1,480","2,159","2,909","2,432","1,967","1,960","2,383","2,549","1,871","1,945","2,304","1,432","1,472","1,074","1,478"
"25-29","Дорноговь","Эрэгтэй","","","","","","","","","","","","","","","","","","2,715","2,532","1,774","1,560","2,318","2,334","2,322","2,798","1,997","2,153","1,972","1,526","2,739","799","1,471"
"25-29","Дорноговь","Эмэгтэй","","","","","","","","","","","","","","","","","","1,544","1,550","1,499","1,090","1,724","2,397","1,769","1,935","1,979","1,906","2,325","2,425","968","1,958","1,347"
"25-29","Дундговь","Эрэгтэй","","","","","","","","","","","","","","","","","","964","1,346","1,077","2,044","1,094","1,021","1,245","925","780","891","1,134","750","1,033","1,211","506"
"25-29","Дундговь","Эмэгтэй","","","","","","","","","","","","","","","","","","1,689","1,342","2,007","1,989","1,167","1,180","970","1,206","1,166","1,270","912","1,082","1,311","959","851"
"25-29","Өмнөговь","Эрэгтэй","","","","","","","","","","","","","","","","","","2,275","2,066","2,289","1,205","2,230","2,592","2,546","2,037","2,324","1,942","1,151","1,440","2,257","1,325","2,128"
"25-29","Өмнөговь","Эмэгтэй","","","","","","","","","","","","","","","","","","1,525","1,844","1,746","1,077","1,673","1,827","1,676","1,563","1,764","1,811","2,133","1,426","1,544","1,532","2,708"
"25-29","Сэлэнгэ","Эрэгтэй","","","","","","","","","","","","","","","","","","4,117","2,792","2,970","3,011","3,136","2,935","1,990","2,726","2,529","3,577","1,774","2,565","1,203","523","890"
"25-29","Сэлэнгэ","Эмэгтэй","","","","","","","","","","","","","","","","","","2,198","2,412","1,906","2,769","3,293","1,999","1,639","1,561","1,943","2,290","1,549","1,278","978","1,252","431"
"25-29","Төв","Эрэгтэй","","","","","","","","","","","","","","","","","","2,255","2,153","2,654","2,978","3,706","3,292","2,748","3,564","2,277","2,343","2,041","4,431","1,880","2,372","1,043"
"25-29","Төв","Эмэгтэй","","","","","","","","","","","","","","","","","","2,106","2,387","2,356","2,340","2,195","2,135","1,763","2,407","1,876","2,542","817","2,471","1,674","984","1,713"
"25-29","Дорнод","Эрэгтэй","","","","","","","","","","","","","","","","","","1,465","1,657","2,442","2,106","2,538","2,572","2,756","2,670","3,111","2,497","3,607","3,157","2,787","1,339","642"
"25-29","Дорнод","Эмэгтэй","","","","","","","","","","","","","","","","","","2,481","1,864","2,103","1,759","2,288","1,637","1,806","2,176","2,208","1,970","3,021","1,855","832","1,993","1,923"
"25-29","Сүхбаатар","Эрэгтэй","","","","","","","","","","","","","","","","","","2,001","2,045","1,568","2,227","1,488","1,996","2,194","2,218","1,665","2,023","1,928","1,889","1,975","2,636","2,695"
"25-29","Сүхбаатар","Эмэгтэй","","","","","","","","","","","","","","","","","","822","1,881","1,590","2,493","1,608","2,305","2,319","2,230","2,245","2,174","2,389","1,012","1,601","1,646","1,453"
"25-29","Хэнтий","Эрэгтэй","","","","","","","","","","","","","","","","","","1,831","1,861","1,952","2,071","1,787","1,872","2,533","2,561","1,968","1,779","1,500","1,799","1,445","2,138","1,846"
"25-29","Хэнтий","Эмэгтэй","","","","","","","","","","","","","","","","","","836","1,166","1,510","2,405","2,137","1,315","1,914","2,107","1,842","1,581","1,410","1,281","1,595","1,592","1,525"
"25-29","Улаанбаатар","Эрэгтэй","","","","","","","","","","","","","","","","","","30,448","36,756","34,075","38,178","41,754","44,077","43,354","48,397","49,058","45,989","41,767","42,411","38,244","34,918","32,816"
"25-29","Улаанбаатар","Эмэгтэй","","","","","","","","","","","","","","","","","","23,777","27,675","26,372","30,069","34,261","35,040","32,952","36,589","36,478","32,422","32,263","32,395","32,515","27,520","27,191"
"25-29","Улаанбаатар","Эрэгтэй","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","34,918","32,816"
"25-29","Улаанбаатар","Эмэгтэй","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27,520","27,191"
"25-29","Хан-Уул","Эрэгтэй","","","","","","","","","","","","","","","","","","2,597","3,160","3,373","3,948","3,793","4,146","5,708","5,506","6,289","4,965","5,976","6,877","5,128","5,653","5,037"
"25-29","Хан-Уул","Эмэгтэй","","","","","","","","","","","","","","","","","","1,808","2,668","2,914","3,122","4,069","4,007","4,485","3,693","5,716","4,182","6,449","2,292","2,901","4,055","5,468"
"25-29","Багануур Багахангай","Эрэгтэй","","","","","","","","","","","","","","","","","","621","672","521","638","1,142","833","931","978","830","1,140","3,339","2,166","962","285","475"
"25-29","Багануур Багахангай","Эмэгтэй","","","","","","","","","","","","","","","","","","886","481","673","407","601","421","606","570","451","434","2,448","1,723","719","321","476"
"25-29","Баянзүрх","Эрэгтэй","","","","","","","","","","","","","","","","","","5,948","9,468","8,504","9,248","11,519","11,333","12,039","12,787","12,817","11,994","9,073","11,383","8,905","7,138","12,611"
"25-29","Баянзүрх","Эмэгтэй","","","","","","","","","","","","","","","","","","4,329","7,841","5,455","7,898","8,355","8,342","8,316","9,122","9,882","9,623","9,534","11,215","7,172","6,288","7,453"
"25-29","Налайх","Эрэгтэй","","","","","","","","","","","","","","","","","","1,258","1,274","1,102","1,026","885","952","1,061","1,419","1,291","1,230","","","","732","564"
"25-29","Налайх","Эмэгтэй","","","","","","","","","","","","","","","","","","309","613","458","476","612","736","966","891","762","946","","","","532","666"
"25-29","Баянгол","Эрэгтэй","","","","","","","","","","","","","","","","","","3,956","4,880","4,774","5,802","7,767","6,480","5,547","8,276","8,027","7,643","4,784","4,830","3,873","6,409","3,650"
"25-29","Баянгол","Эмэгтэй","","","","","","","","","","","","","","","","","","3,594","3,704","4,573","5,000","6,236","5,672","6,167","6,191","6,346","3,993","2,678","2,817","6,330","4,578","3,649"
"25-29","Сүхбаатар","Эрэгтэй","","","","","","","","","","","","","","","","","","5,183","4,504","4,723","4,804","3,895","4,013","3,916","3,944","3,812","3,511","4,833","3,585","4,218","2,632","2,530"
"25-29","Сүхбаатар","Эмэгтэй","","","","","","","","","","","","","","","","","","4,284","2,690","3,312","3,962","3,987","3,525","2,432","3,054","2,847","2,665","743","5,377","3,320","2,802","2,530"
"25-29","Чингэлтэй","Эрэгтэй","","","","","","","","","","","","","","","","","","3,894","4,376","3,430","5,127","4,603","4,392","4,639","4,620","4,457","4,343","3,472","4,903","4,810","3,735","2,681"
"25-29","Чингэлтэй","Эмэгтэй","","","","","","","","","","","","","","","","","","3,208","3,653","3,147","3,376","4,140","4,393","2,663","4,505","3,943","3,482","2,829","3,143","3,545","2,656","2,765"
"25-29","Сонгинохайрхан","Эрэгтэй","","","","","","","","","","","","","","","","","","6,991","8,422","7,648","7,585","8,150","11,928","9,513","10,867","11,535","11,163","10,290","8,667","10,349","8,334","5,268"
"25-29","Сонгинохайрхан","Эмэгтэй","","","","","","","","","","","","","","","","","","5,359","6,025","5,840","5,828","6,261","7,944","7,317","8,563","6,531","7,097","7,582","5,828","8,528","6,287","4,183"
"30-34","Улсын дүн","Эрэгтэй","","","","","","","","","","","","","","","","","","80,131","86,105","80,139","85,536","94,877","92,404","98,896","104,481","111,312","117,225","102,083","107,494","109,761","110,579","107,638"
"30-34","Улсын дүн","Эмэгтэй","","","","","","","","","","","","","","","","","","76,206","76,411","75,799","76,570","80,111","82,195","87,474","88,226","96,039","93,291","94,722","89,616","94,026","89,610","91,345"
"30-34","Баян-Өлгий","Эрэгтэй","","","","","","","","","","","","","","","","","","2,272","2,786","3,060","3,321","3,757","3,591","3,996","3,822","4,338","3,239","2,382","2,449","3,096","3,636","4,272"
"30-34","Баян-Өлгий","Эмэгтэй","","","","","","","","","","","","","","","","","","2,879","2,750","3,091","3,160","3,722","3,576","4,185","2,256","3,571","3,352","3,717","1,775","2,076","3,079","3,667"
"30-34","Говь-Алтай","Эрэгтэй","","","","","","","","","","","","","","","","","","1,180","2,257","1,545","2,371","2,348","1,447","1,706","2,146","1,848","1,758","2,109","1,540","1,963","2,105","1,610"
"30-34","Говь-Алтай","Эмэгтэй","","","","","","","","","","","","","","","","","","1,545","2,359","2,360","2,131","2,038","1,672","1,927","1,637","2,331","1,680","2,654","2,041","1,758","1,613","1,303"
"30-34","Завхан","Эрэгтэй","","","","","","","","","","","","","","","","","","2,755","2,808","2,538","3,158","2,645","2,160","1,894","2,248","2,242","2,124","3,241","1,769","1,336","1,078","2,218"
"30-34","Завхан","Эмэгтэй","","","","","","","","","","","","","","","","","","2,126","2,086","2,725","2,364","2,378","2,828","2,087","2,604","2,116","3,049","3,608","1,828","601","1,552","2,619"
"30-34","Увс","Эрэгтэй","","","","","","","","","","","","","","","","","","1,948","2,330","2,205","2,266","2,402","2,272","2,598","2,308","2,687","2,208","2,080","1,143","1,967","2,320","2,072"
"30-34","Увс","Эмэгтэй","","","","","","","","","","","","","","","","","","1,768","2,875","2,340","2,295","2,672","2,170","2,894","2,653","2,347","2,385","2,854","2,445","3,742","2,531","2,791"
"30-34","Ховд","Эрэгтэй","","","","","","","","","","","","","","","","","","1,954","2,577","1,807","2,831","2,510","2,697","2,675","2,551","2,562","2,837","4,191","3,176","3,626","4,271","2,871"
"30-34","Ховд","Эмэгтэй","","","","","","","","","","","","","","","","","","1,964","2,249","2,177","2,484","2,055","3,007","2,017","2,691","2,811","2,981","3,554","1,555","3,577","1,576","3,610"
"30-34","Архангай","Эрэгтэй","","","","","","","","","","","","","","","","","","3,218","3,056","2,456","3,261","2,827","3,140","2,359","3,372","2,404","3,035","3,570","1,448","2,161","3,148","1,703"
"30-34","Архангай","Эмэгтэй","","","","","","","","","","","","","","","","","","3,262","2,835","3,329","3,374","2,361","2,899","2,615","3,838","3,061","2,964","3,172","1,778","3,277","2,933","3,006"
"30-34","Баянхонгор","Эрэгтэй","","","","","","","","","","","","","","","","","","3,133","2,575","2,341","2,663","2,707","2,592","3,319","3,511","3,522","3,890","2,806","3,131","1,992","4,273","4,223"
