agegr,province,gndr,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
40-44,country,1,,,,,,,,,,,,,,,,,,86930.0,87017.0,83105.0,77006.0,85615.0,88372.0,91645.0,92700.0,101615.0,102159.0,90931.0,86707.0,84719.0,88064.0,87894.0
40-44,capital,0,,,,,,,,,,,,,,,,,,28283.0,27013.0,26355.0,25228.0,33254.0,32722.0,36466.0,36423.0,46443.0,46365.0,41745.0,41585.0,27945.0,42601.0,42170.0
40-44,capital,1,,,,,,,,,,,,,,,,,,29246.0,29753.0,25843.0,26433.0,31643.0,32715.0,32975.0,33561.0,44335.0,42339.0,37766.0,42246.0,32624.0,37066.0,39096.0
40-44,capital,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42601.0,42170.0
40-44,capital,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37066.0,39096.0
45-49,country,0,,,,,,,,,,,,,,,,,,73657.0,73177.0,71727.0,66143.0,74809.0,73107.0,76661.0,79276.0,87108.0,89278.0,84108.0,80427.0,76113.0,85964.0,81572.0
45-49,country,1,,,,,,,,,,,,,,,,,,79135.0,72615.0,76580.0,69615.0,76245.0,79927.0,83617.0,84589.0,89447.0,93018.0,82020.0,88260.0,76500.0,84444.0,86835.0
45-49,capital,0,,,,,,,,,,,,,,,,,,25326.0,24660.0,24132.0,22647.0,27816.0,26712.0,27810.0,31033.0,33745.0,33702.0,35587.0,35333.0,30789.0,35188.0,36906.0
45-49,capital,1,,,,,,,,,,,,,,,,,,29766.0,24488.0,26915.0,25765.0,29171.0,28694.0,33281.0,33610.0,35523.0,33521.0,32866.0,37144.0,31529.0,34682.0,38084.0
45-49,capital,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35188.0,36906.0
45-49,capital,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34682.0,38084.0
50-54,country,0,,,,,,,,,,,,,,,,,,44709.0,50587.0,51211.0,48263.0,51303.0,58120.0,61766.0,64852.0,71689.0,71098.0,60515.0,58347.0,58514.0,59777.0,65168.0
50-54,country,1,,,,,,,,,,,,,,,,,,39808.0,44353.0,43036.0,49151.0,55556.0,54180.0,57889.0,60700.0,71469.0,71353.0,63154.0,61702.0,67635.0,66874.0,73596.0
50-54,capital,0,,,,,,,,,,,,,,,,,,15619.0,16884.0,16188.0,16586.0,18227.0,21325.0,22823.0,25742.0,28255.0,26691.0,18252.0,22471.0,21199.0,26883.0,28227.0
50-54,capital,1,,,,,,,,,,,,,,,,,,12927.0,14744.0,13857.0,16724.0,21799.0,22536.0,21094.0,24797.0,29142.0,28067.0,20176.0,25414.0,28069.0,30272.0,32621.0
50-54,capital,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26883.0,28227.0
50-54,capital,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30272.0,32621.0
55-59,country,0,,,,,,,,,,,,,,,,,,20979.0,22575.0,23840.0,24716.0,28999.0,29333.0,36169.0,37447.0,41516.0,46009.0,43432.0,38851.0,43958.0,44707.0,51718.0
55-59,country,1,,,,,,,,,,,,,,,,,,12809.0,14009.0,15180.0,19078.0,21849.0,18913.0,21890.0,24806.0,26994.0,27974.0,31734.0,33911.0,29996.0,29660.0,37701.0
55-59,capital,0,,,,,,,,,,,,,,,,,,6876.0,7314.0,7436.0,7657.0,9311.0,9993.0,11765.0,13340.0,12103.0,15700.0,12773.0,13005.0,15650.0,20630.0,20844.0
55-59,capital,1,,,,,,,,,,,,,,,,,,2630.0,3965.0,3721.0,4826.0,8059.0,5673.0,6798.0,7878.0,7619.0,8754.0,8634.0,13526.0,13071.0,12715.0,16400.0
55-59,capital,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20630.0,20844.0
55-59,capital,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12715.0,16400.0
60-64,country,0,,,,,,,,,,,,,,,,,,7424.0,8121.0,8414.0,9382.0,8666.0,7826.0,8470.0,10984.0,12221.0,10876.0,13909.0,14295.0,12100.0,17238.0,18008.0
60-64,country,1,,,,,,,,,,,,,,,,,,7065.0,5310.0,6126.0,6065.0,6665.0,4949.0,8036.0,8852.0,11827.0,10731.0,14308.0,12347.0,14200.0,19437.0,20754.0
60-64,capital,0,,,,,,,,,,,,,,,,,,1225.0,2104.0,1761.0,1894.0,1610.0,2341.0,1660.0,2907.0,2810.0,2378.0,2853.0,4805.0,4603.0,6285.0,6157.0
60-64,capital,1,,,,,,,,,,,,,,,,,,955.0,1091.0,1178.0,795.0,1217.0,1482.0,1838.0,1765.0,3145.0,2248.0,5519.0,3337.0,2643.0,6889.0,6719.0
60-64,capital,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6285.0,6157.0
60-64,capital,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6889.0,6719.0
